yishuv_id,yishuv_name
1224,צור יגאל
1316,אל-עריאן
3641,שבות רחל
5000,תל אביב - יפו
5000,tel aviv
9800,בנימינה
0026,א. תעשיה צחר
0046,יבניאל
0046,Yavneel
0139,ד.נ. חפר
0155,א. תעשיה באר טוביה
0162,חרות
0177,"כפר ביל""ו א'"
0182,הדסים
0188,אשדות יעקב  (מאוחד)
0190,כפר ןיתקין
0195,קדימה
0195,צורן
0199,אשדות יעקב  (איחוד)
0207,גבעת חן
0212,בית צבי סיטרין
0224,שושנת העמקים (רסקו)
0254,מועצה אזורית זבולון
0278,קיבוץ אושה
0290,מעין צבי
03,מ.א. גליל תחתון
0300,דליה
0308,קיבוץ מחניים
0319,קיבוץ עמיר
0320,Kfar warburg
0368,ביריה
04,ד.נ. גליל מערבי
04,מ.א. מטה אשר
0406,Hatzor-Ashdod
0416,מעין ברוך
0430,"בית לחם הגלילית,"
0440,מושב יסודות
0473,"אבו סנאן, מרכז הכפר"
0480,בית ג'אן
0481,"מגאר, ת.ד 1361"
0487,"גוש חלב, ת.ד. 743"
0490,דייר אל אסד
0494,דלית אל כרמל
0494,דאלית אל כרמל
0500,כאוכב אבו אל היג'א
0509,"כפר כנא, אלעין 1"
0516,מג'ד אל כרום
0516,מגד אל-כרום
0529,ibillin
0534,עוספיא
0540,ריחאניה
0541,גסאר א זרקא
0594,צפריה
0596,מלכיה
0606,מושב מזור
0610,סתריה
0613,מושב ציפורי
0614,מושב שומרה
0636,סנדלה
0637,עארה
0638,קלאנסווה
0654,Gare
0654,Kfar Qari
0684,מושב היוגב
0714,קיבוץ ארז
0726,הודיה
0768,כרמיה
0769,ימין אורד
08,מ.א. גלבוע
0801,חמד
0841,מושב אלישמע
09,ד.נ. עמק יזרעאל
09,מכללת עמק יזרעאל
0948,חוג'ייראת (ד'הרה)
0964,קודייראת א-צאנע(שבט)
1015,מבשרת ירושלים
1063,מעלות
1083,תושיה
1104,פוריה כפר עבודה
1105,פוריה - נווה עובד
1108,"חבל התענ""ך"
1114,שריגים לי-און
1127,מעלה גלבע
1137,קרית יערים טלסטון
1181,טלאל
1200,מודיעין
1200,מכבים-רעות
1203,הררית - יחד
1224,כוכב יאיר צור יגאל
1246,עראמשה
1252,כרוזים
1260,כפר רתמים
1265,שומריה
1282,קיבוץ מירב
1292,אל מכר-גודיידה
13,מ.א. מגידו
1313,פוריה עילית
1313,Poriya
1326,בסמ''ה
1326,כפר מועאויה
1366,נוה
1366,מושב נווה
14,מ.א. מנשה
1413,מחנה יהודית
16,מ.א. עמק חפר
1701,א.ת. הר טוב
1707,ד.נ. גליל עליון
1707,מכללת תל חי
1711,צמח
1712,"ביה""ח פוריה"
1714,א.ת. קדמת גליל
1714,א.ת קדמת גליל
1724,פארק תעשיות משגב
1746,קריית שדה התעופה
1748,"נתב""ג"
1751,מרכז למחקר גרעיני
1772,עין בוקק
1794,מיתרים
2030,מושב מנוחה
2039,קרית יערים(מוסד)
2100,טירת הכרמל
2530,צריפין
26,אבן העזר
2610,רמת בית שמש ג'
2610,רמת בית שמש
2650,כפר הירוק
2650,Ramat Hasharon
2730,Taybe
2730,טייבה משולש
3000,כפר עקב
35,מ.א. יואב
35,בית חטיבת גבעתי
3573,נוה צוף
3573,חלמיש
3574,בית אל ב`
3574,בית אל ב'
3579,אילן מורה
36,ד.נ חוף אשקלון
3611,חברון
3617,עופרה
3640,מעלה שומרון
3660,עימנואל
37,מ.א. שער הנגב
3745,יתיר
3756,סוסיא
3763,אדם
3764,בית חג'י
3780,ביתר עלית
3788,נריה
3794,בית עין ב'
3797,קרית ספר
38,מ.א. אשכול
38,מועצה אזורית אשכול
4000,קריית חיים תאי דואר
4002,צומת אליעד
4100,אוהלו
42,מ.א. מרחבים
42,מועצה אזורית מרחבים
48,מ.א. רמת הנגב
48,מ.א. רמת הנגב ד.נ. חלוצה
5000,תל  אביב
55,צומת כח
6100,בני -ברק
6100,בני ברק ברק
6400,Herzliya
6700,טבריא
6800,קר אתא
69,אלקסום
7000,גני איילון
72,חוות גלעד
7200,נס-ציונה
73,"אז""ת שער בנימין"
74,מ.א מגילות ים המלח
7400,מכון וינגייט
75,מ א בקעת הירדן
7500,סכנין
76,"גוש עציון פארק התעשייה,"
7800,פרדס-חנה כרכור
7800,Pardes Hana - Karkur
7800,פרדס חנה
7900,"פ""ת"
7900,פתח-תקווה
8300,"ראל""צ"
8300,ראש לציון
8600,תל השומר
8600,אפעל-מרכז סמינריוני
8600,רמת אפעל
9000,Beer Sheva
9300,Zichron Yaakov
9800,גבעת עדה
